category,detail,amount
UNIVERSITY OF MINNESOTA,Higher Education Asset Preservation (HEAPR) 1,42500000
UNIVERSITY OF MINNESOTA,Minneapolis; Tate Laboratory Renovation,56700000
UNIVERSITY OF MINNESOTA,Crookston; Wellness Center,10000000
UNIVERSITY OF MINNESOTA,Research Laboratories,8667000
UNIVERSITY OF MINNESOTA,Duluth; Chemical Sciences and Advanced Materials Building,1500000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Higher Education Asset Preservation (HEAPR) 2,42500000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Metropolitan State University,35865000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Bemidji State University,13790000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Lake Superior College,5266000
MINNESOTA STATE COLLEGES AND UNIVERSITIES,Minneapolis Community and Technical College,3600000